,page_url,property_type,price,location,city,locality,baths,area,area_marla,area_sqft,bedrooms
23327,https://www.zameen.com/Property/islamabad_g_11_here_is_a_good_opportunity_to_live_in_a_well__built_flat-16940499-168-4.html,Flat,32000,G-11,Islamabad,"G-11, Islamabad, Islamabad Capital",2,4 Marla,4.0,1089.0,2
23328,https://www.zameen.com/Property/islamabad_g_11_here_is_a_good_opportunity_to_live_in_a_well__built_flat-16940502-168-4.html,Flat,32000,G-11,Islamabad,"G-11, Islamabad, Islamabad Capital",2,4 Marla,4.0,1089.0,2
23330,https://www.zameen.com/Property/islamabad_f_11_amazing_3_bedroom_flat_avaialble_in_f11-16941043-163-4.html,Flat,80000,F-11,Islamabad,"F-11, Islamabad, Islamabad Capital",3,8 Marla,8.0,2178.01,3
23331,https://www.zameen.com/Property/g_11_g_11_4_g114_pha_flat_d_type_3rd_floor_fully_furnished-16941187-3333-4.html,Flat,40000,G-11,Islamabad,"G-11, Islamabad, Islamabad Capital",2,4 Marla,4.0,1089.0,2
23355,https://www.zameen.com/Property/islamabad_g_11_apartment_is_available_for_sale-16942492-168-1.html,Flat,15200000,G-11,Islamabad,"G-11, Islamabad, Islamabad Capital",0,7.1 Marla,7.1,1932.98,0
23356,https://www.zameen.com/Property/islamabad_f_11_executive_heights-16942571-163-1.html,Flat,15500000,F-11,Islamabad,"F-11, Islamabad, Islamabad Capital",2,5.9 Marla,5.9,1606.28,2
23368,https://www.zameen.com/Property/islamabad_highway_the_palm_residential_apartments_book_your_dream_apartment_todaybest_time_to_invest_your_savings-16945509-11633-1.html,Flat,5250000,Islamabad Highway,Islamabad,"Islamabad Highway, Islamabad, Islamabad Capital",1,3.1 Marla,3.1,843.98,1
23369,https://www.zameen.com/Property/islamabad_highway_the_palm_residential_apartments_best_time_to_invest_your_savings_book_your_dream_apartment_today-16945688-11633-1.html,Flat,5513000,Islamabad Highway,Islamabad,"Islamabad Highway, Islamabad, Islamabad Capital",1,3.3 Marla,3.3,898.43,1
23371,https://www.zameen.com/Property/gulberg_greens_gulberg_greens_block_a_flat_is_available_for_sale_in_gulberg_mall-16946430-8313-1.html,Flat,5517000,Gulberg,Islamabad,"Gulberg, Islamabad, Islamabad Capital",0,2.7 Marla,2.7,735.08,1
23372,https://www.zameen.com/Property/gulberg_greens_gulberg_greens_block_a_flat_is_available_for_sale_in_gulberg_mall-16946431-8313-1.html,Flat,3536000,Gulberg,Islamabad,"Gulberg, Islamabad, Islamabad Capital",0,1.8 Marla,1.8,490.05,0
23373,https://www.zameen.com/Property/gulberg_greens_gulberg_greens_block_a_flat_is_available_for_sale_in_gulberg_mall-16946432-8313-1.html,Flat,9900000,Gulberg,Islamabad,"Gulberg, Islamabad, Islamabad Capital",0,4.9 Marla,4.9,1334.03,0
