,Price,House_location,baths,beds,area
602,3400000,Bahria Town Rawalpindi,2,2,735
603,3500000,Bahria Town Rawalpindi,1,2,735
604,7000000,Bahria Town Rawalpindi,2,1,1089
605,6500000,Bahria Town Rawalpindi,2,1,1361
606,2500000,Bahria Town Rawalpindi,1,2,1361
607,17500000,Bahria Town Rawalpindi,4,4,3539
608,13200000,Bahria Town Rawalpindi,3,3,2286
609,4800000,Bahria Town Rawalpindi,1,1,735
610,3100000,Bahria Town Rawalpindi,1,2,1361
611,2800000,Bahria Town Rawalpindi,1,2,1361
612,2600000,Bahria Town Rawalpindi,1,2,1361
613,2350000,Bahria Town Rawalpindi,1,2,1361
614,3400000,Bahria Town Rawalpindi,1,1,680
615,5000000,Bahria Town Rawalpindi,2,2,980
616,2000000,Bahria Town Rawalpindi,1,1,490
617,4320000,Bahria Town Rawalpindi,1,1,871
618,5500000,Bahria Town Rawalpindi,1,1,816
619,3800000,Bahria Town Rawalpindi,1,1,680
620,2800000,Bahria Town Rawalpindi,1,1,735
621,11000000,Bahria Town Rawalpindi,2,2,1551
622,7200000,Bahria Town Rawalpindi,2,1,980
623,9000000,Bahria Town Rawalpindi,1,1,1089
624,3300000,Bahria Town Rawalpindi,2,2,843
625,4300000,Bahria Town Rawalpindi,1,2,952
626,13500000,Bahria Town Rawalpindi,2,2,2069
627,13500000,Bahria Town Rawalpindi,2,2,2069
628,2500000,Bahria Town Rawalpindi,2,2,735
629,7080000,Bahria Town Rawalpindi,2,2,1143
630,6500000,Bahria Town Rawalpindi,1,1,980
631,7080000,Bahria Town Rawalpindi,2,2,1606
632,7080000,Bahria Town Rawalpindi,2,2,1143
633,2400000,Bahria Town Rawalpindi,2,2,653
