,total_area,url,beds,baths,garage,location,date,Price_,A,B,C,D,E,F,G
315,12 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-i-8-2-12-marla-upper-portion-for-rent-592000,3,3,1,I-8/2 Islamabad,March 22 2022,140000,I-8/2 ,12 Marla Upper Portion , Rent,12,Marla Upper Portion ,Marla,Upper Portion 
316,1 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-i-8-2-1-kanal-upper-portion-for-rent-592008,3,3,1,I-8/2 Islamabad,March 22 2022,140000,I-8/2 ,1 Kanal Upper Portion , Rent,1,Kanal Upper Portion ,Kanal,Upper Portion 
317,1 Kanal House for Rent,https://www.graana.com/property/islamabad-i-8-4-1-kanal-house-for-rent-591962,4,4,2,I-8/4  Islamabad,March 22 2022,200000,I-8/4  ,1 Kanal House , Rent,1,Kanal House ,Kanal,House 
318,1 Kanal Basement for Rent,https://www.graana.com/property/islamabad-i-8-2-1-kanal-basement-for-rent-592012,3,3,0,I-8/2 Islamabad,March 22 2022,120000,I-8/2 ,1 Kanal Basement , Rent,1,Kanal Basement ,Kanal,Basement 
319,10 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-9-4-10-marla-lower-portion-for-rent-592014,3,3,1,G-9/4 Islamabad,March 22 2022,90000,G-9/4 ,10 Marla Lower Portion , Rent,10,Marla Lower Portion ,Marla,Lower Portion 
320,10 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-9-4-10-marla-upper-portion-for-rent-592011,2,2,1,G-9/4 Islamabad,March 22 2022,80000,G-9/4 ,10 Marla Upper Portion , Rent,10,Marla Upper Portion ,Marla,Upper Portion 
321,10 Marla House for Rent,https://www.graana.com/property/islamabad-g-9-4-10-marla-house-for-rent-592007,5,6,2,G-9/4 Islamabad,March 22 2022,170000,G-9/4 ,10 Marla House , Rent,10,Marla House ,Marla,House 
322,7 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-1-7-marla-upper-portion-for-rent-592159,3,3,1,G-13/1 Islamabad,March 22 2022,55000,G-13/1 ,7 Marla Upper Portion , Rent,7,Marla Upper Portion ,Marla,Upper Portion 
323,7 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-13-1-7-marla-lower-portion-for-rent-592161,2,3,1,G-13/1 Islamabad,March 22 2022,55000,G-13/1 ,7 Marla Lower Portion , Rent,7,Marla Lower Portion ,Marla,Lower Portion 
324,3 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-8-2-3-marla-lower-portion-for-rent-592002,2,1,1,G-8/2 Islamabad,March 22 2022,35000,G-8/2 ,3 Marla Lower Portion , Rent,3,Marla Lower Portion ,Marla,Lower Portion 
325,12 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-media-town-12-marla-lower-portion-for-rent-540548,3,3,1,Media Town Islamabad,March 21 2022,55000,Media Town ,12 Marla Lower Portion , Rent,12,Marla Lower Portion ,Marla,Lower Portion 
326,10 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-gulberg-greens-10-marla-upper-portion-for-rent-452346,2,2,1,Gulberg Greens Islamabad,March 21 2022,50000,Gulberg Greens ,10 Marla Upper Portion , Rent,10,Marla Upper Portion ,Marla,Upper Portion 
327,1 Kanal Upper portion for Rent,https://www.graana.com/property/islamabad-korang-town-1-kanal-upper-portion-for-rent-500431,3,3,0,Korang Town Islamabad,March 21 2022,60000,Korang Town ,1 Kanal Upper portion , Rent,1,Kanal Upper portion ,Kanal,Upper portion 
328,7 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-gulberg-greens-7-marla-lower-portion-for-rent-452351,2,2,1,Gulberg Greens Islamabad,March 21 2022,40000,Gulberg Greens ,7 Marla Lower Portion , Rent,7,Marla Lower Portion ,Marla,Lower Portion 
329,10 Marla House for Rent,https://www.graana.com/property/islamabad-e-11-1050-sqft-house-for-rent-591001,2,2,1,E-11 Islamabad,March 21 2022,90000,E-11 ,10 Marla House , Rent,10,Marla House ,Marla,House 
330,4 Kanal House for Rent,https://www.graana.com/property/islamabad-f-6-4-kanal-house-for-rent-599317,6,6,4,F-6 Islamabad,March 30 2022,1400000,F-6 ,4 Kanal House , Rent,4,Kanal House ,Kanal,House 
331,1618 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-f-17-1618-sqft-apartment-for-rent-598258,2,2,0,F-17 Islamabad,March 30 2022,25000,F-17 ,1618 Sqft Apartment , Rent,1618,Sqft Apartment ,Sqft,Apartment 
332,1612 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-f-17-1612-sqft-apartment-for-rent-598249,2,2,0,F-17 Islamabad,March 30 2022,22000,F-17 ,1612 Sqft Apartment , Rent,1612,Sqft Apartment ,Sqft,Apartment 
333,5 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-i-14-5-marla-upper-portion-for-rent-598626,2,2,1,I-14 Islamabad,March 30 2022,30000,I-14 ,5 Marla Upper Portion , Rent,5,Marla Upper Portion ,Marla,Upper Portion 
334,1 Kanal Lower Portion for Rent,https://www.graana.com/property/islamabad-f-11-1-1-kanal-lower-portion-for-rent-598514,3,3,1,F-11/1 Islamabad,March 30 2022,130000,F-11/1 ,1 Kanal Lower Portion , Rent,1,Kanal Lower Portion ,Kanal,Lower Portion 
335,10 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-f-11-2-10-marla-upper-portion-for-rent-598522,3,3,1,F-11/2 Islamabad,March 30 2022,100000,F-11/2 ,10 Marla Upper Portion , Rent,10,Marla Upper Portion ,Marla,Upper Portion 
336,8 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-f-11-2-8-marla-upper-portion-for-rent-598518,3,3,1,F-11/2 Islamabad,March 30 2022,90000,F-11/2 ,8 Marla Upper Portion , Rent,8,Marla Upper Portion ,Marla,Upper Portion 
337,1 Kanal House for Rent,https://www.graana.com/property/islamabad-f-11-2-1-kanal-house-for-rent-597294,5,7,2,F-11/2 Islamabad,March 29 2022,300000,F-11/2 ,1 Kanal House , Rent,1,Kanal House ,Kanal,House 
338,16 Marla Basement for Rent,https://www.graana.com/property/islamabad-f-11-2-16-marla-basement-for-rent-597314,3,3,1,F-11/2 Islamabad,March 29 2022,200000,F-11/2 ,16 Marla Basement , Rent,16,Marla Basement ,Marla,Basement 
339,1 Kanal Basement for Rent,https://www.graana.com/property/islamabad-f-11-2-1-kanal-basement-for-rent-597305,3,3,1,F-11/2 Islamabad,March 29 2022,150000,F-11/2 ,1 Kanal Basement , Rent,1,Kanal Basement ,Kanal,Basement 
340,7 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-10-3-7-marla-lower-portion-for-rent-591322,3,2,1,G-10/3 Islamabad,March 21 2022,75000,G-10/3 ,7 Marla Lower Portion , Rent,7,Marla Lower Portion ,Marla,Lower Portion 
341,7 Marla House for Rent,https://www.graana.com/property/islamabad-g-11-1-7-marla-house-for-rent-591330,4,3,1,G-11/1 Islamabad,March 21 2022,120000,G-11/1 ,7 Marla House , Rent,7,Marla House ,Marla,House 
342,7 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-i-8-4-7-marla-upper-portion-for-rent-591196,3,3,1,I-8/4  Islamabad,March 21 2022,120000,I-8/4  ,7 Marla Upper Portion , Rent,7,Marla Upper Portion ,Marla,Upper Portion 
343,500 Sqyd Upper Portion for Rent,https://www.graana.com/property/islamabad-f-10-2-500-sqyd-upper-portion-for-rent-591362,3,3,1,F-10/2 Islamabad,March 21 2022,120000,F-10/2 ,500 Sqyd Upper Portion , Rent,500,Sqyd Upper Portion ,Sqyd,Upper Portion 
344,700 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-1-700-sqft-apartment-for-rent-589319,2,2,1,E-11/1 Islamabad,March 21 2022,50000,E-11/1 ,700 Sqft Apartment , Rent,700,Sqft Apartment ,Sqft,Apartment 
345,4.5 Marla House for Rent,https://www.graana.com/property/islamabad-g-13-4.5-marla-house-for-rent-589758,2,2,1,G-13 Islamabad,March 21 2022,28000,G-13 ,4.5 Marla House , Rent,4.5,Marla House ,Marla,House 
346,800 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-e-11-2-800-sqft-apartment-for-rent-589886,2,2,1,E-11/2 Islamabad,March 21 2022,90000,E-11/2 ,800 Sqft Apartment , Rent,800,Sqft Apartment ,Sqft,Apartment 
347,10 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-d-12-10-marla-lower-portion-for-rent-590036,3,3,0,D-12 Islamabad,March 21 2022,65000,D-12 ,10 Marla Lower Portion , Rent,10,Marla Lower Portion ,Marla,Lower Portion 
348,1 Kanal Lower Portion for Rent,https://www.graana.com/property/islamabad-d-12-1-kanal-lower-portion-for-rent-590037,3,3,1,D-12 Islamabad,March 21 2022,110000,D-12 ,1 Kanal Lower Portion , Rent,1,Kanal Lower Portion ,Kanal,Lower Portion 
349,600 Sqyd Upper Portion for Rent,https://www.graana.com/property/islamabad-f-10-markaz-600-sqyd-upper-portion-for-rent-590132,3,3,1,F-10 Markaz Islamabad,March 21 2022,220000,F-10 Markaz ,600 Sqyd Upper Portion , Rent,600,Sqyd Upper Portion ,Sqyd,Upper Portion 
350,1 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-i-8-4-1-kanal-upper-portion-for-rent-590480,3,3,1,I-8/4  Islamabad,March 21 2022,120000,I-8/4  ,1 Kanal Upper Portion , Rent,1,Kanal Upper Portion ,Kanal,Upper Portion 
351,1 Kanal Basement for Rent,https://www.graana.com/property/islamabad-f-7-4-1-kanal-basement-for-rent-590627,2,2,1,F-7/4 Islamabad,March 21 2022,229999,F-7/4 ,1 Kanal Basement , Rent,1,Kanal Basement ,Kanal,Basement 
352,10 Marla House for Rent,https://www.graana.com/property/islamabad-i-8-2-10-marla-house-for-rent-590474,5,5,1,I-8/2 Islamabad,March 21 2022,350000,I-8/2 ,10 Marla House , Rent,10,Marla House ,Marla,House 
353,2 Kanal House for Rent,https://www.graana.com/property/islamabad-bani-gala-2-kanal-house-for-rent-590489,6,6,2,Bani Gala Islamabad,March 21 2022,280000,Bani Gala ,2 Kanal House , Rent,2,Kanal House ,Kanal,House 
354,5 Kanal Farm House for Rent,https://www.graana.com/property/islamabad-bani-gala-5-kanal-farm-house-for-rent-590560,8,8,3,Bani Gala Islamabad,March 21 2022,600000,Bani Gala ,5 Kanal Farm House , Rent,5,Kanal Farm House ,Kanal,Farm House 
355,1 Kanal Basement for Rent,https://www.graana.com/property/islamabad-f-10-1-kanal-basement-for-rent-590638,2,2,1,F-10 Islamabad,March 21 2022,180000,F-10 ,1 Kanal Basement , Rent,1,Kanal Basement ,Kanal,Basement 
356,2 Kanal House for Rent,https://www.graana.com/property/islamabad-bani-gala-2-kanal-house-for-rent-590496,7,7,4,Bani Gala Islamabad,March 21 2022,200000,Bani Gala ,2 Kanal House , Rent,2,Kanal House ,Kanal,House 
357,1.5 Kanal House for Rent,https://www.graana.com/property/islamabad-bani-gala-1.5-kanal-house-for-rent-590487,6,6,0,Bani Gala Islamabad,March 21 2022,180000,Bani Gala ,1.5 Kanal House , Rent,1.5,Kanal House ,Kanal,House 
358,4 Marla House for Rent,https://www.graana.com/property/islamabad-d-12-1-4-marla-house-for-rent-590337,3,4,1,D-12/1 Islamabad,March 21 2022,100000,D-12/1 ,4 Marla House , Rent,4,Marla House ,Marla,House 
359,10 Marla House for Rent,https://www.graana.com/property/islamabad-b-17-10-marla-house-for-rent-590121,6,6,0,B-17 Islamabad,March 21 2022,75000,B-17 ,10 Marla House , Rent,10,Marla House ,Marla,House 
360,1 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-f-11-2-1-kanal-upper-portion-for-rent-597298,6,6,1,F-11/2 Islamabad,March 29 2022,300000,F-11/2 ,1 Kanal Upper Portion , Rent,1,Kanal Upper Portion ,Kanal,Upper Portion 
361,1 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-f-11-2-1-kanal-upper-portion-for-rent-597302,3,3,1,F-11/2 Islamabad,March 29 2022,200000,F-11/2 ,1 Kanal Upper Portion , Rent,1,Kanal Upper Portion ,Kanal,Upper Portion 
362,1 Kanal House for Rent,https://www.graana.com/property/islamabad-e-7-1-kanal-house-for-rent-597921,4,4,3,E-7 Islamabad,March 29 2022,300000,E-7 ,1 Kanal House , Rent,1,Kanal House ,Kanal,House 
363,7 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-jinnah-garden-phase-1-7-marla-upper-portion-for-rent-597366,2,2,1,Jinnah Garden Phase 1 Islamabad,March 29 2022,30000,Jinnah Garden Phase 1 ,7 Marla Upper Portion , Rent,7,Marla Upper Portion ,Marla,Upper Portion 
364,7 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-jinnah-garden-phase-1-7-marla-lower-portion-for-rent-597359,3,3,1,Jinnah Garden Phase 1 Islamabad,March 29 2022,35000,Jinnah Garden Phase 1 ,7 Marla Lower Portion , Rent,7,Marla Lower Portion ,Marla,Lower Portion 
365,7 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-jinnah-garden-phase-1-7-marla-lower-portion-for-rent-597340,3,3,1,Jinnah Garden Phase 1 Islamabad,March 29 2022,35000,Jinnah Garden Phase 1 ,7 Marla Lower Portion , Rent,7,Marla Lower Portion ,Marla,Lower Portion 
366,7 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-13-2-7-marla-lower-portion-for-rent-594170,2,2,1,G-13/2 Islamabad,March 28 2022,55000,G-13/2 ,7 Marla Lower Portion , Rent,7,Marla Lower Portion ,Marla,Lower Portion 
367,2 Kanal House for Rent,https://www.graana.com/property/islamabad-f-7-1-2-kanal-house-for-rent-596210,4,5,3,F-7/1 Islamabad,March 28 2022,1400000,F-7/1 ,2 Kanal House , Rent,2,Kanal House ,Kanal,House 
368,1 Kanal House for Rent,https://www.graana.com/property/islamabad-g-6-3-1-kanal-house-for-rent-596192,4,5,3,G-6/3 Islamabad,March 28 2022,300000,G-6/3 ,1 Kanal House , Rent,1,Kanal House ,Kanal,House 
369,1 Kanal Upper Portion for Rent,https://www.graana.com/property/islamabad-g-14-4-1-kanal-upper-portion-for-rent-596159,3,4,1,G-14/4 Islamabad,March 28 2022,95000,G-14/4 ,1 Kanal Upper Portion , Rent,1,Kanal Upper Portion ,Kanal,Upper Portion 
370,7 Marla House for Rent,https://www.graana.com/property/islamabad-jinnah-garden-phase-1-7-marla-house-for-rent-590743,4,4,1,Jinnah Garden Phase 1 Islamabad,March 21 2022,65000,Jinnah Garden Phase 1 ,7 Marla House , Rent,7,Marla House ,Marla,House 
371,1300 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-bahria-town-phase-4-1300-sqft-apartment-for-rent-586090,1,1,0,Bahria Town Phase 4 Islamabad,March 21 2022,85000,Bahria Town Phase 4 ,1300 Sqft Apartment , Rent,1300,Sqft Apartment ,Sqft,Apartment 
372,500 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-bahria-town-phase-4-500-sqft-apartment-for-rent-586092,1,1,0,Bahria Town Phase 4 Islamabad,March 21 2022,45000,Bahria Town Phase 4 ,500 Sqft Apartment , Rent,500,Sqft Apartment ,Sqft,Apartment 
373,10 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-10-3-10-marla-upper-portion-for-rent-534781,3,3,1,G-10/3 Islamabad,March 21 2022,90000,G-10/3 ,10 Marla Upper Portion , Rent,10,Marla Upper Portion ,Marla,Upper Portion 
374,1 Kanal Lower Portion for Rent,https://www.graana.com/property/islamabad-g-11-3-1-kanal-lower-portion-for-rent-534779,3,3,2,G-11/3 Islamabad,March 21 2022,130000,G-11/3 ,1 Kanal Lower Portion , Rent,1,Kanal Lower Portion ,Kanal,Lower Portion 
375,1 Kanal House for Rent,https://www.graana.com/property/islamabad-f-8-1-1-kanal-house-for-rent-534404,6,6,2,F-8/1 Islamabad,March 21 2022,600000,F-8/1 ,1 Kanal House , Rent,1,Kanal House ,Kanal,House 
376,26 Marla House for Rent,https://www.graana.com/property/islamabad-f-8-1-26-marla-house-for-rent-534399,4,4,1,F-8/1 Islamabad,March 21 2022,430000,F-8/1 ,26 Marla House , Rent,26,Marla House ,Marla,House 
377,12 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-f-8-2-12-marla-lower-portion-for-rent-534395,3,3,2,F-8/2 Islamabad,March 21 2022,200000,F-8/2 ,12 Marla Lower Portion , Rent,12,Marla Lower Portion ,Marla,Lower Portion 
378,2 Kanal House for Rent,https://www.graana.com/property/islamabad-f-8-3-40-marla-house-for-rent-534392,6,6,3,F-8/3 Islamabad,March 21 2022,600000,F-8/3 ,2 Kanal House , Rent,2,Kanal House ,Kanal,House 
379,1 Kanal House for Rent,https://www.graana.com/property/islamabad-f-8-4-20-marla-house-for-rent-534390,6,6,3,F-8/4 Islamabad,March 21 2022,700000,F-8/4 ,1 Kanal House , Rent,1,Kanal House ,Kanal,House 
380,2000 Sq. Yd. House for Rent,https://www.graana.com/property/islamabad-f-8-4-2000-sqyd-house-for-rent-534388,6,6,3,F-8/4 Islamabad,March 21 2022,1050000,F-8/4 ,2000 Sq. Yd. House , Rent,2000,Sq. Yd. House ,Sq.,Yd. House 
381,3 Marla House for Rent,https://www.graana.com/property/islamabad-d-12-4-3-marla-house-for-rent-534344,5,4,1,D-12/4 Islamabad,March 21 2022,85000,D-12/4 ,3 Marla House , Rent,3,Marla House ,Marla,House 
382,14 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-i-8-4-14-marla-lower-portion-for-rent-534294,3,3,1,I-8/4  Islamabad,March 21 2022,90000,I-8/4  ,14 Marla Lower Portion , Rent,14,Marla Lower Portion ,Marla,Lower Portion 
383,8 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-8-2-8-marla-lower-portion-for-rent-534293,2,2,1,G-8/2 Islamabad,March 21 2022,70000,G-8/2 ,8 Marla Lower Portion , Rent,8,Marla Lower Portion ,Marla,Lower Portion 
384,8 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-8-2-8-marla-lower-portion-for-rent-534292,2,2,1,G-8/2 Islamabad,March 21 2022,70000,G-8/2 ,8 Marla Lower Portion , Rent,8,Marla Lower Portion ,Marla,Lower Portion 
385,14 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-10-3-14-marla-upper-portion-for-rent-534289,3,3,1,G-10/3 Islamabad,March 21 2022,100000,G-10/3 ,14 Marla Upper Portion , Rent,14,Marla Upper Portion ,Marla,Upper Portion 
386,7 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-10-4-7-marla-lower-portion-for-rent-534286,2,2,1,G-10/4 Islamabad,March 21 2022,65000,G-10/4 ,7 Marla Lower Portion , Rent,7,Marla Lower Portion ,Marla,Lower Portion 
387,10 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-10-1-10-marla-lower-portion-for-rent-534285,3,3,1,G-10/1 Islamabad,March 21 2022,90000,G-10/1 ,10 Marla Lower Portion , Rent,10,Marla Lower Portion ,Marla,Lower Portion 
388,10 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-10-1-10-marla-lower-portion-for-rent-534284,3,3,1,G-10/1 Islamabad,March 21 2022,90000,G-10/1 ,10 Marla Lower Portion , Rent,10,Marla Lower Portion ,Marla,Lower Portion 
389,10 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-10-1-10-marla-lower-portion-for-rent-534283,3,3,1,G-10/1 Islamabad,March 21 2022,90000,G-10/1 ,10 Marla Lower Portion , Rent,10,Marla Lower Portion ,Marla,Lower Portion 
390,1.2 Kanal Basement for Rent,https://www.graana.com/property/islamabad-g-14-4-1.2-kanal-basement-for-rent-596176,4,5,1,G-14/4 Islamabad,March 28 2022,90000,G-14/4 ,1.2 Kanal Basement , Rent,1.2,Kanal Basement ,Kanal,Basement 
391,1 Kanal Lower Portion for Rent,https://www.graana.com/property/islamabad-f-6-1-1-kanal-lower-portion-for-rent-596197,3,3,2,F-6/1 Islamabad,March 28 2022,250000,F-6/1 ,1 Kanal Lower Portion , Rent,1,Kanal Lower Portion ,Kanal,Lower Portion 
392,7 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-13-1-7-marla-lower-portion-for-rent-596147,2,3,1,G-13/1 Islamabad,March 28 2022,55000,G-13/1 ,7 Marla Lower Portion , Rent,7,Marla Lower Portion ,Marla,Lower Portion 
393,7 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-13-1-7-marla-upper-portion-for-rent-596139,3,3,0,G-13/1 Islamabad,March 28 2022,55000,G-13/1 ,7 Marla Upper Portion , Rent,7,Marla Upper Portion ,Marla,Upper Portion 
394,1 Kanal Lower Portion for Rent,https://www.graana.com/property/islamabad-f-11-1-1-kanal-lower-portion-for-rent-535295,3,3,1,F-11/1 Islamabad,March 28 2022,110000,F-11/1 ,1 Kanal Lower Portion , Rent,1,Kanal Lower Portion ,Kanal,Lower Portion 
395,10 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-e-11-1-10-marla-lower-portion-for-rent-535296,3,3,1,E-11/1 Islamabad,March 28 2022,90000,E-11/1 ,10 Marla Lower Portion , Rent,10,Marla Lower Portion ,Marla,Lower Portion 
396,7 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-11-2-7-marla-upper-portion-for-rent-534799,2,2,1,G-11/2 Islamabad,March 28 2022,65000,G-11/2 ,7 Marla Upper Portion , Rent,7,Marla Upper Portion ,Marla,Upper Portion 
397,5 Marla Upper Portion for Rent,https://www.graana.com/property/islamabad-g-11-2-5-marla-upper-portion-for-rent-534798,2,2,0,G-11/2 Islamabad,March 28 2022,60000,G-11/2 ,5 Marla Upper Portion , Rent,5,Marla Upper Portion ,Marla,Upper Portion 
398,1 Kanal Lower Portion for Rent,https://www.graana.com/property/islamabad-dha-phase-2-1-kanal-lower-portion-for-rent-586801,3,3,0,DHA Phase 2 Islamabad,March 21 2022,90000,DHA Phase 2 ,1 Kanal Lower Portion , Rent,1,Kanal Lower Portion ,Kanal,Lower Portion 
399,602 Sqft Apartment for Rent,https://www.graana.com/property/islamabad-dha-phase-2-defence-residency-602-sqft-apartment-for-rent-574228,1,1,0,DHA Phase 2 Defence Residency Islamabad,March 19 2022,18000,DHA Phase 2 Defence Residency ,602 Sqft Apartment , Rent,602,Sqft Apartment ,Sqft,Apartment 
