,total_area,url,beds,baths,garage,location,date,Price_,A,B,C,D,E,F,G
566,600 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-7-600-sqyd-house-for-rent-428489,5,6,4,F-7 Islamabad,March 8 2022,600000,F-7 ,600 Sqyd House , Rent,600,Sqyd House ,Sqyd,House 
567,500 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-7-500-sqyd-house-for-rent-423327,3,3,2,F-7 Islamabad,March 8 2022,220000,F-7 ,500 Sqyd House , Rent,500,Sqyd House ,Sqyd,House 
568,444 Sqyd Upper Portion for Rent,https://www.graana.com/property/islamabad-f-6-444-sqyd-upper-portion-for-rent-417627,3,3,1,F-6 Islamabad,March 8 2022,155000,F-6 ,444 Sqyd Upper Portion , Rent,444,Sqyd Upper Portion ,Sqyd,Upper Portion 
569,933 Sqyd House for Rent,https://www.graana.com/property/islamabad-g-6-933-sqyd-house-for-rent-411244,5,6,7,G-6 Islamabad,March 8 2022,900000,G-6 ,933 Sqyd House , Rent,933,Sqyd House ,Sqyd,House 
570,14 Marla Lower Portion for Rent,https://www.graana.com/property/islamabad-g-13-14-marla-lower-portion-for-rent-528739,3,3,1,G-13 Islamabad,March 8 2022,60000,G-13 ,14 Marla Lower Portion , Rent,14,Marla Lower Portion ,Marla,Lower Portion 
571,400 Sq.Yd. House for Rent,https://www.graana.com/property/islamabad-f-7-400-sqyd-house-for-rent-530962,4,4,0,F-7 Islamabad,March 8 2022,229999,F-7 ,400 Sq.Yd. House , Rent,400,Sq.Yd. House ,Sq.Yd.,House 
572,400 Sqyd Upper Portion for Rent,https://www.graana.com/property/islamabad-f-6-400-sqyd-upper-portion-for-rent-537590,3,3,2,F-6 Islamabad,March 8 2022,90000,F-6 ,400 Sqyd Upper Portion , Rent,400,Sqyd Upper Portion ,Sqyd,Upper Portion 
573,600 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-6-600-sqyd-house-for-rent-548600,5,5,1,F-6 Islamabad,March 8 2022,800000,F-6 ,600 Sqyd House , Rent,600,Sqyd House ,Sqyd,House 
574,500 Sqyd Upper Portion for Rent,https://www.graana.com/property/islamabad-f-6-500-sqyd-upper-portion-for-rent-497237,3,3,2,F-6 Islamabad,March 8 2022,250000,F-6 ,500 Sqyd Upper Portion , Rent,500,Sqyd Upper Portion ,Sqyd,Upper Portion 
575,500 Sqyd House for Rent,https://www.graana.com/property/islamabad-f-7-500-sqyd-house-for-rent-505316,5,7,5,F-7 Islamabad,March 8 2022,550000,F-7 ,500 Sqyd House , Rent,500,Sqyd House ,Sqyd,House 
